a,b,label
7.308150055,3.378029172,1
-16.24374745,-16.01139341,0
7.584489815,2.642161591,1
-15.96562314,-12.11911218,0
-18.60172145,15.42240559,1
-4.626704736,16.0718267,0
-16.39276125,14.10651062,1
-17.08626478,15.43680881,1
-4.410758055,19.47169727,0
10.10948867,4.872916428,1
-18.14120252,14.66813725,1
-15.46624534,-15.09909301,0
-18.17049217,10.79509019,1
-12.84675541,-19.84953227,0
-11.62850184,-14.27631022,0
6.977450199,-1.731817951,1
-19.10478575,17.00388447,1
-16.45012442,16.92259939,1
-14.94129129,-12.88009933,0
-13.26035249,-12.9617628,0
-6.122111538,23.14497083,0
-4.341427559,17.43776944,0
7.921296366,-1.882172612,1
-8.958602882,19.81376693,0
8.995464599,4.623714004,1
-16.819133,16.18797302,1
-19.13020379,12.89181112,1
-19.27306767,16.68412069,1
-4.779234509,16.08243437,0
-13.60603624,-14.7837463,0
9.176711815,4.952520105,1
11.24512396,1.146197922,1
14.05650166,6.314852658,1
-3.166040151,21.84740554,0
-16.42415108,-11.41788392,0
8.685005514,3.453572563,1
6.494286728,3.87723812,1
-13.38527396,-13.84876583,0
-13.43466838,16.60274096,1
-5.947203771,18.95269404,0
6.546040946,5.131473916,1
-16.42601885,14.30849695,1
7.803643505,4.308841693,1
9.282995735,4.775885149,1
-19.52650714,15.18459741,1
-14.80940547,15.02994726,1
-5.73507555,16.73348865,0
-17.69390451,-13.80270875,0
-4.331158667,14.50249195,0
-5.460323594,18.08234393,0
5.914440284,1.898282186,1
9.317395772,1.603030673,1
-14.05353339,-15.07346733,0
8.140858123,3.698296593,1
-16.26967122,14.49140296,1
-4.767946241,17.16976117,0
-17.86446265,16.97304777,1
11.02125096,5.843965561,1
7.831777009,3.555558666,1
-13.46465838,-15.12120728,0
-15.43327723,15.10523549,1
-17.23627688,16.71182463,1
-6.981412548,18.9527792,0
-6.819636715,19.30535611,0
7.29402567,1.055928839,1
-13.23074486,-13.84088701,0
-5.056427662,16.02351353,0
-3.86528132,18.65107257,0
-19.68533117,14.9006952,1
-13.21441159,-12.92528901,0
-6.637602286,18.87669435,0
-11.70037327,-14.43400944,0
-16.00009022,-15.26995158,0
-6.970141752,20.13585585,0
-8.403324506,21.0876729,0
-3.373305422,15.58688496,0
-14.25192494,-18.36316262,0
-14.08009315,-8.758418191,0
-5.051241038,20.4053588,0
9.332167178,3.339210717,1
-8.404308874,17.831893,0
-4.54716613,19.57030264,0
5.377553944,4.233515241,1
11.90209267,3.497701426,1
-16.38931801,18.80173271,1
10.4542825,3.535083661,1
-6.603235088,17.4126492,0
-14.14666514,-12.6796433,0
-17.37955971,14.04357972,1
-13.68947849,-16.51124097,0
-15.68632018,16.52178066,1
9.015418961,4.090897299,1
10.64389665,4.198695175,1
-17.75330318,16.28457777,1
-4.752455898,16.62833063,0
-14.96906791,-12.76464257,0
-17.91597332,17.6756073,1
-19.54289369,15.99399142,1
-16.91812698,-15.39600287,0
-17.18046109,-14.54639959,0
-20.13068367,13.28723404,1
3.420860292,8.052283417,1
-12.87592925,-16.62767924,0
9.672020591,2.138202788,1
-6.046129081,15.91014521,0
10.58970884,5.567936659,1
-5.112236404,18.98265391,0
-13.03846759,-12.75164348,0
-2.846822596,18.22453856,0
-3.534204502,18.62715742,0
9.072895224,1.468233963,1
-6.711982682,14.99887781,0
-10.42485983,19.3843229,0
-4.639232013,20.03066444,0
7.669414169,6.100035657,1
12.13747309,0.998075104,1
-14.88313516,15.53698246,1
-4.484294714,19.80783385,0
-16.05813826,17.11170304,1
9.724337384,6.504070995,1
-4.166620834,18.06686781,0
9.166580695,6.384280947,1
-4.85351574,15.11346926,0
-7.538724776,16.79584944,0
4.505897932,2.954583024,1
-5.260291543,18.86763714,0
-5.528349681,21.03655823,0
-8.385271631,16.41683212,0
-12.3289056,-13.86245657,0
10.12115693,2.790497814,1
10.62364689,4.714743512,1
-3.57363253,17.28290595,0
10.20030092,4.336024048,1
-6.293169501,20.40660532,0
-15.19923345,-15.6083448,0
-8.131653593,19.24059216,0
-2.898522478,19.26258416,0
-13.58522142,-15.83250633,0
-9.262105044,16.81292828,0
9.36678701,5.062618397,1
-17.46068767,19.86076416,1
-7.914563929,15.21364471,0
-19.32723943,13.66120928,1
-1.325121254,15.88840272,0
-11.86296848,-14.37212805,0
9.836454942,2.927912643,1
-19.33301664,16.01835862,1
-16.55486534,-11.35506618,0
-10.38087651,-10.42037362,0
-3.575051118,15.77046871,0
11.01730267,1.573666514,1
-18.54968524,16.79040658,1
-13.2626041,-13.60398372,0
-15.46666111,13.89198353,1
10.45156607,2.472799096,1
5.345618265,1.711966444,1
-19.67429725,12.2023166,1
-14.05393484,-11.83236834,0
-13.45644829,-13.16331556,0
-11.18310293,-13.73120119,0
10.84401768,2.364540605,1
8.375858929,2.367662356,1
-13.98189208,-13.16204772,0
-18.89882564,14.16559722,1
-2.297078054,15.41093146,0
-19.40550892,17.8260919,1
-18.52432259,13.11582352,1
8.221802256,1.833224082,1
-2.486979564,16.29622256,0
10.1278914,4.025233464,1
-19.16595048,-13.08150756,0
-3.511712004,18.79088903,0
